 All, 		One
 1048576, 	1048576 
 1048570, 	 1048576 
 1048446, 	 1048576 
 1047524, 	 1048576 
 1043896, 	 1048576 
 1033848, 	 1048576 
 1013617, 	 1048576 
 980477, 	 1048576 
 934695, 	 1048576 
 877319, 	 1048576 
 811646, 	 1048576 
 740794, 	 1048576 
 668410, 	 1048576 
 597408, 	 1048576 
 529750, 	 1048576 
 465443, 	 1048576 
 406387, 	 1048576 
 352975, 	 1048576 
 305520, 	 1048576 
 263234, 	 1048576 
 225978, 	 1048576 
 193335, 	 1048576 
 164887, 	 1048576 
 140411, 	 1048576 
 119463, 	 1048576 
 101297, 	 1048576 
 85799, 	 1048576 
 72695, 	 1048575 
 61493, 	 1048575 
 51979, 	 1048573 
 43865, 	 1048573 
 36900, 	 1048558 
 31074, 	 1048558 
 26118, 	 1048558 
 21998, 	 1048558 
 18449, 	 1048558 
 15435, 	 1048557 
 12905, 	 1048555 
 10780, 	 1048554 
 9019, 		 1048551 
 7549, 		 1048548 
 6238, 		 1048546 
 5188, 		 1048541 
 4301, 		 1048533 
 3548, 		 1048525 
 2926, 		 1048515 
 2426, 		 1048509 
 2026, 		 1048502 
 1696, 		 1048492 
 1388, 		 1048480 
 1179, 		 1048470 
 989, 		 1048456 
 812, 		 1048447 
 670, 		 1048435 
 549, 		 1048424 
 455, 		 1048411 
 359, 		 1048401 
 282, 		 1048389 
 221, 		 1048371 
 174, 		 1048348 
 121, 		 1048277 
 80, 		 1048119 
 43, 		 1047596 
 -1,		 -1
